uniandes_user_id,user_join_ts,country_cd,region_cd,profile_language_cd,browser_language_cd,reported_or_inferred_gender,employment_status,educational_attainment,student_status
9d320a7cb5eb8d0c766e37d70fa43eeadf771d48,2024-09-16 11:33:18,"CO","DC","es-LA","es-41","male",,"HIGH_SCHOOL_DIPLOMA",
c9be72d51c8718c848bd4ce87794c23852b969ef,2025-02-19 12:17:48,"ES","MD","es-LA","es",,,,
a5b25f686d8b18307d2834f390cfb27f80892fc9,2020-04-15 18:46:18,"CO","DC","es-LA","es-ES","female",,,
ef243158783c113817c071c743343ae42e8ecda0,2024-10-21 07:46:22,"MX","NLE","es-LA","es-MX",,,,
8af1ee216ee537849aadfa3f093cf9c57a352b85,2015-10-02 02:26:08,"CO","DC","es-LA","es-US","male",,,
7a30509a9c41862caeffa788943f518ea4f3d330,2024-05-01 20:25:16,"EC","G","es-LA","es-ES",,,,
5148af38fd4659fb6527a089b4f845aa5ca96a2d,2019-01-24 14:26:18,"GT","01","es-LA","en","female","EMPLOYED_FULL_TIME","MASTERS_DEGREE",
54251786c9c05ddc73c733fb84b03361cc8e5ed4,2024-02-26 10:05:18,"ES","CT","es-LA","es-ES",,,"COLLEGE_NO_DEGREE",
f64eb31c2a43eb27d6e3d1ed37534a2d19199d4a,2022-10-16 14:32:32,"AR","R","en","es-41","male",,,
ddd1a6b4a221334234f1b870a57917cf440c1c72,2023-04-13 16:52:39,"FR","PAC","en-US","fr",,,"COLLEGE_NO_DEGREE",
12e972362ad5f64cd78e5c0016a213f9d37ff87b,2020-05-27 15:20:26,"CO","DC","es-LA","es-ES",,,,
b87bc2e9a0b0c0bbf84185935091540d0036580d,2019-06-12 11:12:08,"CO","DC","es-LA","es-ES","female",,,
801286f97d1e2ea7d6a755f4dcc217bd3d7c23c6,2025-07-09 22:39:23,"AR","B",,"es-ES","female",,,
036409bbbae5b8ab767acb625b75863166db4e1c,2020-05-14 15:22:08,"CO","DC","es-LA","es-CO","male","UNEMPLOYED_LOOKING_FOR_WORK","ASSOCIATE_DEGREE",
